pais,escenario,idoneidad
Colombia,Pesimista,0.0072716837748885155
Colombia,Actual,0.19877400994300842
Colombia,Optimista,0.04340986907482147
Colombia,Pesimista,0.0075284517370164394
Colombia,Actual,0.20385153591632843
Colombia,Optimista,0.04460037499666214
Colombia,Pesimista,0.007743597496300936
Colombia,Actual,0.20913296937942505
Colombia,Optimista,0.04584114998579025
Colombia,Pesimista,0.007968604564666748
Colombia,Actual,0.21292445063591003
Colombia,Optimista,0.04670128971338272
Colombia,Pesimista,0.008127033710479736
Colombia,Actual,0.21547675132751465
Colombia,Optimista,0.04724172130227089
Colombia,Pesimista,0.00822902750223875
Colombia,Actual,0.21728788316249847
Colombia,Optimista,0.047604404389858246
Colombia,Pesimista,0.008299507200717926
Colombia,Actual,0.034746915102005005
Colombia,Optimista,0.007698961067944765
Colombia,Pesimista,0.001417863299138844
Colombia,Actual,0.06766580045223236
Colombia,Optimista,0.015185536816716194
Colombia,Pesimista,0.0028045473154634237
Colombia,Actual,0.13319577276706696
Colombia,Optimista,0.030717171728610992
Colombia,Pesimista,0.005708121228963137
Colombia,Actual,0.25496259331703186
Colombia,Optimista,0.062209125608205795
Colombia,Pesimista,0.011700967326760292
Colombia,Actual,0.25090232491493225
Colombia,Optimista,0.06111423298716545
Colombia,Pesimista,0.011464071460068226
Colombia,Actual,0.2465292513370514
Colombia,Optimista,0.059939444065093994
Colombia,Pesimista,0.01121253427118063
Colombia,Actual,0.24344022572040558
Colombia,Optimista,0.059119146317243576
Colombia,Pesimista,0.011029604822397232
Colombia,Actual,0.24035422503948212
Colombia,Optimista,0.058303091675043106
Colombia,Pesimista,0.010847889818251133
Colombia,Actual,0.23601573705673218
Colombia,Optimista,0.057152219116687775
Colombia,Pesimista,0.010602936148643494
Colombia,Actual,0.23833762109279633
Colombia,Optimista,0.057730838656425476
Colombia,Pesimista,0.01069818064570427
Colombia,Actual,0.24551984667778015
Colombia,Optimista,0.059564363211393356
Colombia,Pesimista,0.011041353456676006
Colombia,Actual,0.1668606549501419
Colombia,Optimista,0.038757678121328354
Colombia,Pesimista,0.0070479256100952625
Colombia,Actual,0.1953253298997879
Colombia,Optimista,0.04597310349345207
Colombia,Pesimista,0.008365318179130554
Colombia,Actual,0.36703813076019287
Colombia,Optimista,0.08800404518842697
Colombia,Pesimista,0.01552576757967472
Colombia,Actual,0.1970783770084381
Colombia,Optimista,0.043223969638347626
Colombia,Pesimista,0.007482597138732672
Colombia,Actual,0.19475756585597992
Colombia,Optimista,0.04264084994792938
Colombia,Pesimista,0.007385345175862312
Colombia,Actual,0.1981109082698822
Colombia,Optimista,0.043414078652858734
Colombia,Pesimista,0.007527822628617287
Colombia,Actual,0.20345166325569153
Colombia,Optimista,0.04466467723250389
Colombia,Pesimista,0.007755483966320753
Colombia,Actual,0.20900577306747437
Colombia,Optimista,0.045969173312187195
Colombia,Pesimista,0.007993758656084538
Colombia,Actual,0.2128780335187912
Colombia,Optimista,0.0468493215739727
Colombia,Pesimista,0.008156582713127136
Colombia,Actual,0.21469128131866455
Colombia,Optimista,0.047212690114974976
Colombia,Pesimista,0.008226761594414711
Colombia,Actual,0.21705766022205353
Colombia,Optimista,0.04771209508180618
Colombia,Pesimista,0.008321189321577549
Colombia,Actual,0.2371060848236084
Colombia,Optimista,0.05255360156297684
Colombia,Pesimista,0.009190886281430721
Colombia,Actual,0.03372378647327423
Colombia,Optimista,0.006799135822802782
Colombia,Pesimista,0.001167725189588964
Colombia,Actual,0.04384063556790352
Colombia,Optimista,0.00975104607641697
Colombia,Pesimista,0.0018005449092015624
Colombia,Actual,0.08065084367990494
Colombia,Optimista,0.01820085383951664
Colombia,Pesimista,0.0033712880685925484
Colombia,Actual,0.14172039926052094
Colombia,Optimista,0.03281274810433388
Colombia,Pesimista,0.006112384609878063
Colombia,Actual,0.23579630255699158
Colombia,Optimista,0.05700068548321724
Colombia,Pesimista,0.010715472511947155
Colombia,Actual,0.2536453902721405
Colombia,Optimista,0.061851415783166885
Colombia,Pesimista,0.01163029670715332
Colombia,Actual,0.24803416430950165
Colombia,Optimista,0.06031752750277519
Colombia,Pesimista,0.011313146911561489
Colombia,Actual,0.24499770998954773
Colombia,Optimista,0.05949297547340393
Colombia,Pesimista,0.011133075691759586
Colombia,Actual,0.24062304198741913
Colombia,Optimista,0.05830993130803108
Colombia,Pesimista,0.010884614661335945
Colombia,Actual,0.2375907301902771
Colombia,Optimista,0.057495396584272385
Colombia,Pesimista,0.010707099922001362
Colombia,Actual,0.24009618163108826
Colombia,Optimista,0.058114707469940186
Colombia,Pesimista,0.010812847875058651
Colombia,Actual,0.24757719039916992
Colombia,Optimista,0.06002951040863991
Colombia,Pesimista,0.011173670180141926
Colombia,Actual,0.1628749817609787
Colombia,Optimista,0.03774821385741234
Colombia,Pesimista,0.006881942972540855
Colombia,Actual,0.08790205419063568
Colombia,Optimista,0.01972859725356102
Colombia,Pesimista,0.0035593677312135696
Colombia,Actual,0.0336170420050621
Colombia,Optimista,0.006895257625728846
Colombia,Pesimista,0.001173423952423036
Colombia,Actual,0.12067630141973495
Colombia,Optimista,0.025664880871772766
Colombia,Pesimista,0.004406520631164312
Colombia,Actual,0.17238005995750427
Colombia,Optimista,0.03749699518084526
Colombia,Pesimista,0.006477156654000282
Colombia,Actual,0.20416764914989471
Colombia,Optimista,0.045041631907224655
Colombia,Pesimista,0.007813947275280952
