pais,escenario,idoneidad,idoneidad_tf
Colombia,Actual,0.23321643471717834,0.23321735831668702
Colombia,Optimista,0.05650218948721886,0.05650372486800387
Colombia,Pesimista,0.010396387428045273,0.010398082426219327
Colombia,Actual,0.22979678213596344,0.22979771757424278
Colombia,Optimista,0.05561767891049385,0.05561921735343726
Colombia,Pesimista,0.01019976381212473,0.010201459491005914
Colombia,Actual,0.23288580775260925,0.23288673249674205
Colombia,Optimista,0.056414175778627396,0.05641571146411416
Colombia,Pesimista,0.010330919176340103,0.01033261440116397
Colombia,Actual,0.22388145327568054,0.2238824091927132
Colombia,Optimista,0.053904447704553604,0.05390599207867009
Colombia,Pesimista,0.009853361174464226,0.009855058052584598
Colombia,Actual,0.2120552361011505,0.21205623296031678
Colombia,Optimista,0.05069053918123245,0.05069209468183767
Colombia,Pesimista,0.009244567714631557,0.009246266700383034
Colombia,Actual,0.2514064908027649,0.25140735142865356
Colombia,Optimista,0.061160858720541,0.06116237797310383
Colombia,Pesimista,0.011192003265023232,0.01119369550879075
Colombia,Actual,0.2535300552845001,0.2535309085586499
Colombia,Optimista,0.061665575951337814,0.06166709345657942
Colombia,Pesimista,0.011272281408309937,0.011273973374156084
Colombia,Actual,0.23138292133808136,0.23138385128517766
Colombia,Optimista,0.055495042353868484,0.05549658122137727
Colombia,Pesimista,0.010071800090372562,0.010073496212261661
Colombia,Actual,0.16954602301120758,0.16954716703644193
Colombia,Optimista,0.0394677110016346,0.03946930535545246
Colombia,Pesimista,0.007102395873516798,0.0071041022754254795
Colombia,Actual,0.1411679983139038,0.14116924058330713
Colombia,Optimista,0.032421063631772995,0.03242268238094686
Colombia,Pesimista,0.0058066812343895435,0.005808392122037078
Colombia,Actual,0.04728648439049721,0.047288051675873834
Colombia,Optimista,0.009553788229823112,0.009555486145059185
Colombia,Pesimista,0.0016344410832971334,0.0016361664151588367
Colombia,Actual,0.1176367700099945,0.11763809374405206
Colombia,Optimista,0.024503305554389954,0.024504951714688118
Colombia,Pesimista,0.004216271918267012,0.004217988311880633
Colombia,Actual,0.13946932554244995,0.13947057369262533
Colombia,Optimista,0.02922195941209793,0.029223589236508314
Colombia,Pesimista,0.005046579986810684,0.005048293505913938
Colombia,Actual,0.12349241226911545,0.1234937157310535
Colombia,Optimista,0.025652367621660233,0.025654009803927895
Colombia,Pesimista,0.004426214378327131,0.0044279300451240435
Colombia,Actual,0.025810156017541885,0.02581179765354919
Colombia,Optimista,0.005695143714547157,0.005696854988335414
Colombia,Pesimista,0.0010418351739645004,0.0010435625574163237
Colombia,Actual,0.10905063897371292,0.10905199243278894
Colombia,Optimista,0.0248873271048069,0.024888971935629934
Colombia,Pesimista,0.004589144140481949,0.004590859243219197
Colombia,Actual,0.2739413380622864,0.2739421206729726
Colombia,Optimista,0.06749288737773895,0.06749438470894185
Colombia,Pesimista,0.012653292156755924,0.01265497934156975
Colombia,Actual,0.24537210166454315,0.24537298318136955
Colombia,Optimista,0.05965719744563103,0.05965872190383992
Colombia,Pesimista,0.011112323962152004,0.011114016481767717
Colombia,Actual,0.24204041063785553,0.24204130368893137
Colombia,Optimista,0.05880521982908249,0.0588067472368213
Colombia,Pesimista,0.010915587656199932,0.010917280856912905
Colombia,Actual,0.2387298345565796,0.23873073906880538
Colombia,Optimista,0.05796148627996445,0.05796301660869238
Colombia,Pesimista,0.010721240192651749,0.010722934066191857
Colombia,Actual,0.23544073104858398,0.23544164694762207
Colombia,Optimista,0.05712590366601944,0.05712743688751811
Colombia,Pesimista,0.010529295541346073,0.010530990079394826
Colombia,Actual,0.23217345774173737,0.23217438495201204
Colombia,Optimista,0.05629853159189224,0.056300067677736924
Colombia,Pesimista,0.01033973041921854,0.010341425613538057
Colombia,Actual,0.23419059813022614,0.23419151835720006
Colombia,Optimista,0.05681341886520386,0.056814953168518825
Colombia,Pesimista,0.010416897013783455,0.010418591940953723
